import time: self [us] | cumulative | imported package
import time:       622 |        622 |                                   dateutil.parser.isoparser
import time:      1032 |       3603 |                                 dateutil.parser
import time:      1121 |       1121 |                                 pandas._libs.tslibs.strptime
import time:       922 |       7205 |                               pandas._libs.tslibs.parsing
import time:       844 |      31528 |                             pandas._libs.tslibs.conversion
import time:       792 |        792 |                             pandas._libs.tslibs.period
import time:       664 |        664 |                             pandas._libs.tslibs.vectorized
import time:       727 |      35738 |                           pandas._libs.tslibs
import time:        22 |      35760 |                         pandas._libs.tslibs.nattype
import time:       405 |        405 |                         pandas._libs.ops_dispatch
import time:       582 |      36745 |                       pandas._libs.missing
import time:      1258 |      38003 |                     pandas._libs.hashtable
import time:       924 |        924 |                     pandas._libs.algos
import time:       898 |      39824 |                   pandas._libs.interval
import time:       449 |      41277 |                 pandas._libs
import time:       413 |        413 |                   pandas.core.dtypes
import time:       288 |        288 |                     pyarrow
import time:      1219 |       1507 |                   pandas._libs.lib
import time:       688 |        688 |                   pandas.errors
import time:       498 |        498 |                     pandas.core.dtypes.generic
import time:       600 |       1097 |                   pandas.core.dtypes.base
import time:       329 |        329 |                   pandas.core.dtypes.inference
import time:      2166 |       6197 |                 pandas.core.dtypes.dtypes
import time:       539 |        539 |                   pandas.core.dtypes.common
import time:      1036 |       1574 |                 pandas.core.dtypes.missing
import time:       420 |        420 |                   pandas.util._decorators
import time:       337 |        337 |                       pandas.io
import time:       552 |        889 |                     pandas.io._util
import time:       813 |       1701 |                   pandas.core.dtypes.cast
import time:       390 |        390 |                     pandas.core.dtypes.astype
import time:       549 |        938 |                   pandas.core.dtypes.concat
import time:       397 |        397 |                     pandas.core.array_algos
import time:      4293 |       4293 |                         numpy.ma.core
import time:      2520 |       2520 |                         numpy.ma.extras
import time:       857 |       7669 |                       numpy.ma
import time:       504 |        504 |                       pandas.core.common
import time:       448 |       8619 |                     pandas.core.construction
import time:       772 |       9788 |                   pandas.core.array_algos.take
import time:       397 |        397 |                     pandas.core.indexers.utils
import time:       538 |        935 |                   pandas.core.indexers
import time:      1728 |      15509 |                 pandas.core.algorithms
import time:      1042 |       1042 |                     pandas.core.arrays.arrow.accessors
import time:       987 |        987 |                       unicodedata
import time:       489 |        489 |                       pandas.util._validators
import time:       505 |        505 |                       pandas.core.missing
import time:       863 |        863 |                           pandas._libs.ops
import time:       454 |        454 |                           pandas.core.roperator
import time:       372 |        372 |                           pandas.core.computation
import time:       523 |        523 |                             pandas.core.computation.check
import time:       610 |       1132 |                           pandas.core.computation.expressions
import time:       357 |        357 |                           pandas.core.ops.missing
import time:       286 |        286 |                           pandas.core.ops.dispatch
import time:       348 |        348 |                           pandas.core.ops.invalid
import time:      3160 |       6969 |                         pandas.core.ops.array_ops
import time:       537 |        537 |                         pandas.core.ops.common
import time:       364 |        364 |                         pandas.core.ops.docstrings
import time:       287 |        287 |                         pandas.core.ops.mask_ops
import time:      1129 |       9285 |                       pandas.core.ops
import time:       459 |        459 |                       pandas.core.arraylike
import time:       442 |        442 |                       pandas.core.arrays._arrow_string_mixins
import time:       287 |        287 |                       pandas.core.arrays._utils
import time:       482 |        482 |                         pandas.compat.numpy.function
import time:       310 |        310 |                         pandas.core.array_algos.quantile
import time:       550 |        550 |                         pandas.core.sorting
import time:      1456 |       2796 |                       pandas.core.arrays.base
import time:      1412 |       1412 |                         pandas.core.nanops
import time:       307 |        307 |                         pandas.core.array_algos.masked_accumulations
import time:       631 |        631 |                         pandas.core.array_algos.masked_reductions
import time:       300 |        300 |                           pandas.core.util
import time:       663 |        663 |                           pandas._libs.hashing
import time:       419 |       1381 |                         pandas.core.util.hashing
import time:      1482 |       5212 |                       pandas.core.arrays.masked
import time:       560 |        560 |                         pandas._libs.arrays
import time:       419 |        419 |                           pandas.core.arrays.numeric
import time:       585 |       1004 |                         pandas.core.arrays.floating
import time:       480 |        480 |                         pandas.core.arrays.integer
import time:       286 |        286 |                             pandas.core.array_algos.transforms
import time:       728 |       1013 |                           pandas.core.arrays._mixins
import time:       289 |        289 |                             pandas.core.strings
import time:       629 |        629 |                             pandas.core.strings.base
import time:       868 |       1785 |                           pandas.core.strings.object_array
import time:       804 |       3601 |                         pandas.core.arrays.numpy_
import time:       378 |        378 |                         pandas.io.formats
import time:       630 |        630 |                           pandas.io.formats.console
import time:       704 |       1333 |                         pandas.io.formats.printing
import time:      1564 |       8918 |                       pandas.core.arrays.string_
import time:       301 |        301 |                         pandas.tseries
import time:       578 |        878 |                       pandas.tseries.frequencies
import time:      3331 |      33584 |                     pandas.core.arrays.arrow.array
import time:      1194 |      35819 |                   pandas.core.arrays.arrow
import time:       654 |        654 |                   pandas.core.arrays.boolean
import time:        84 |         84 |                       _csv
import time:       810 |        894 |                     csv
import time:       475 |        475 |                     pandas.core.accessor
import time:       830 |        830 |                     pandas.core.base
import time:      1775 |       3972 |                   pandas.core.arrays.categorical
import time:       936 |        936 |                     pandas._libs.tslib
import time:       535 |        535 |                       pandas.core.array_algos.datetimelike_accumulations
import time:      2694 |       3228 |                     pandas.core.arrays.datetimelike
import time:       372 |        372 |                     pandas.core.arrays._ranges
import time:       295 |        295 |                     pandas.tseries.offsets
import time:      1017 |       5847 |                   pandas.core.arrays.datetimes
import time:       735 |        735 |                     pandas.core.arrays.timedeltas
import time:      1561 |       2295 |                   pandas.core.arrays.interval
import time:       784 |        784 |                   pandas.core.arrays.period
import time:       796 |        796 |                         pandas._libs.sparse
import time:       726 |       1521 |                       pandas.core.arrays.sparse.array
import time:       826 |       2347 |                     pandas.core.arrays.sparse.accessor
import time:       540 |       2886 |                   pandas.core.arrays.sparse
import time:       747 |        747 |                   pandas.core.arrays.string_arrow
import time:      2793 |      55795 |                 pandas.core.arrays
import time:       504 |        504 |                 pandas.core.flags
import time:       710 |        710 |                       pandas._libs.internals
import time:       316 |        316 |                         pandas.core._numba
import time:       423 |        739 |                       pandas.core._numba.executor
import time:      1003 |       2451 |                     pandas.core.apply
import time:       520 |        520 |                         copy
import time:        50 |         50 |                         gc
import time:        51 |         51 |                               _json
import time:       589 |        640 |                             json.scanner
import time:       854 |       1493 |                           json.decoder
import time:       785 |        785 |                           json.encoder
import time:      1169 |       3445 |                         json
import time:       595 |        595 |                           pandas._libs.indexing
import time:       359 |        359 |                             pandas.core.indexes
import time:       903 |        903 |                               pandas._libs.index
import time:      1400 |       1400 |                               pandas._libs.writers
